sample_time_ns,label,mode,interval_ns,interval_psys_uj,active_psys_uj,idle_uj,total_score,runtime_ns,wakeups,cycles,instructions,cache_misses,migrations,freq_runtime_ns
65865159005529,benchmark,psys,200140989,2850891,2850891,0,350000,0,7,0,0,0,9,""
65865359869446,benchmark,psys,200863917,1966431,1966431,0,100000,0,2,0,0,0,4,""
65865560759432,benchmark,psys,200889986,1293274,1293274,0,0,0,0,0,0,0,6,""
65865761661345,benchmark,psys,200901913,1765320,1765320,0,400000,0,8,0,0,0,2,""
65865962508677,benchmark,psys,200847332,1353210,1353210,0,0,0,0,0,0,0,4,""
65866163537522,benchmark,psys,201028845,2098022,2098022,0,200000,0,4,0,0,0,7,""
65866364379037,benchmark,psys,200841515,1277405,1277405,0,0,0,0,0,0,0,1,""
65866565269636,benchmark,psys,200890599,1339905,1339905,0,0,0,0,0,0,0,3,""
65866766186924,benchmark,psys,200917288,1812622,1812622,0,250000,0,5,0,0,0,3,""
65866967003271,benchmark,psys,200816347,4832031,4832031,0,2700000,0,54,188564883,587375140,356686,90,""
65867167924824,benchmark,psys,200921553,7727783,7727783,0,3300000,0,66,696152683,2390905183,562993,114,""
65867368828012,benchmark,psys,200903188,7716370,7716370,0,4750000,0,95,666346357,2196741907,1346168,211,""
65867569810511,benchmark,psys,200982499,7933228,7933228,0,3350000,0,67,700538092,2386437135,395458,123,""
65867770969234,benchmark,psys,201158723,7860046,7860046,0,3300000,0,66,715958649,2485629653,225507,118,""
65867972093525,benchmark,psys,201124291,7810486,7810486,0,4750000,0,95,718398243,2503624029,320147,107,""
65868173033408,benchmark,psys,200939883,8336609,8336609,0,2800000,0,56,736095494,2528136163,609318,101,""
65868374154645,benchmark,psys,201121237,7910645,7910645,0,2650000,0,53,747308625,2591885181,299247,114,""
65868575185692,benchmark,psys,201031047,7668518,7668518,0,2800000,0,56,743300439,2547633857,437641,97,""
65868776187980,benchmark,psys,201002288,8018250,8018250,0,2650000,0,53,760504599,2649203925,233246,73,""
65868977221695,benchmark,psys,201033715,7560791,7560791,0,2450000,0,49,699322024,2405936880,192049,98,""
65869178354481,benchmark,psys,201132786,8275452,8275452,0,1700000,0,34,826589574,2923131227,85713,79,""
65869379311208,benchmark,psys,200956727,7723572,7723572,0,4700000,0,94,704132478,2341940032,1030931,178,""
65869580157882,benchmark,psys,200846674,7561340,7561340,0,4500000,0,90,745474250,2501237357,554988,185,""
65869781225604,benchmark,psys,201067722,7920593,7920593,0,3950000,0,79,715678587,2435998787,620769,129,""
65869982050682,benchmark,psys,200825078,7845703,7845703,0,2650000,0,53,677540682,2330628533,289764,90,""
65870183162617,benchmark,psys,201111935,8054077,8054077,0,3100000,0,62,729222009,2495701536,315303,126,""
65870383946830,benchmark,psys,200784213,7693604,7693604,0,3100000,0,62,711402292,2471777495,348325,102,""
65870584823922,benchmark,psys,200877092,7365417,7365417,0,1800000,0,36,681740834,2361557567,60692,68,""
65870785840751,benchmark,psys,201016829,7606995,7606995,0,2800000,0,56,673832468,2336050231,122251,80,""
65870987018661,benchmark,psys,201177910,7667603,7667603,0,3350000,0,67,695602816,2404815187,201937,111,""
65871187970855,benchmark,psys,200952194,7699585,7699585,0,1350000,0,27,711565431,2451436345,114836,58,""
65871389110187,benchmark,psys,201139332,7455322,7455322,0,1600000,0,32,720705597,2534993736,204949,54,""
65871590150496,benchmark,psys,201040309,7572693,7572693,0,3000000,0,60,722576069,2478055448,128773,98,""
65871791090850,benchmark,psys,200940354,7856262,7856262,0,5450000,0,109,711408080,2402146643,691888,180,""
65871992198117,benchmark,psys,201107267,7739258,7739258,0,4350000,0,87,753363167,2566412370,750097,185,""
65872193302491,benchmark,psys,201104374,8182068,8182068,0,3500000,0,70,748687047,2569596871,573127,155,""
65872394505170,benchmark,psys,201202679,7742310,7742310,0,3600000,0,72,720470796,2469308556,335744,160,""
65872595623418,benchmark,psys,201118248,8130127,8130127,0,3750000,0,75,694126861,2374797250,540179,167,""
65872797255804,benchmark,psys,201632386,7494019,7494019,0,2800000,0,56,649890104,2222670962,554131,90,""
65872998404999,benchmark,psys,201149195,8071716,8071716,0,4400000,0,88,669061250,2307448209,433409,173,""
65873199339717,benchmark,psys,200934718,7806213,7806213,0,2200000,0,44,766433856,2660618045,139346,71,""
65873400255799,benchmark,psys,200916082,7697144,7697144,0,3950000,0,79,659158812,2228289116,493376,147,""
65873601151724,benchmark,psys,200895925,8257813,8257813,0,4250000,0,85,740535610,2588054565,155625,100,""
65873802105886,benchmark,psys,200954162,8182922,8182922,0,7050000,0,141,725703968,2495498408,661007,104,""
65874003350962,benchmark,psys,201245076,7749207,7749207,0,5500000,0,110,681230828,2298618874,87265,85,""
65874204202560,benchmark,psys,200851598,8118347,8118347,0,2100000,0,42,801073265,2776903708,240513,71,""
65874405366784,benchmark,psys,201164224,7177856,7177856,0,4100000,0,82,670162213,2258591631,395844,117,""
65874606225370,benchmark,psys,200858586,7780212,7780212,0,2800000,0,56,694134522,2414786165,93575,94,""
65874807160779,benchmark,psys,200935409,7842590,7842590,0,3100000,0,62,718732417,2458401679,525787,115,""
65875008151198,benchmark,psys,200990419,8106140,8106140,0,4950000,0,99,675242478,2244551182,832575,164,""
65875209130330,benchmark,psys,200979132,8083069,8083069,0,4600000,0,92,667829344,2267212951,675497,158,""
65875410203474,benchmark,psys,201073144,7458984,7458984,0,3250000,0,65,676069974,2304148773,330237,108,""
65875611189174,benchmark,psys,200985700,8328064,8328064,0,3350000,0,67,785785733,2714985041,432628,126,""
65875812155219,benchmark,psys,200966045,7764343,7764343,0,3200000,0,64,725402274,2473416192,492949,112,""
65876013397522,benchmark,psys,201242303,7360779,7360779,0,2350000,0,47,646031100,2234693374,152533,70,""
65876214506721,benchmark,psys,201109199,7932129,7932129,0,2300000,0,46,720665107,2488221117,206459,71,""
65876415623330,benchmark,psys,201116609,7828125,7828125,0,2250000,0,45,733607455,2600714083,131990,87,""
65876616635743,benchmark,psys,201012413,8134705,8134705,0,3000000,0,60,741012411,2513513336,722743,114,""
65876817743970,benchmark,psys,201108227,7615906,7615906,0,1950000,0,39,738549858,2557140703,87172,59,""
